datetime,fore24
2020-02-09,147.87
2020-02-10,147.81
2020-02-11,147.76
2020-02-12,147.71
2020-02-13,147.65
2020-02-14,147.58
2020-02-15,147.52
2020-02-16,147.45
2020-02-17,147.37
2020-02-18,147.29
2020-02-19,147.22
2020-02-20,147.15
2020-02-21,147.08
2020-02-22,147.01
2020-02-23,146.94
2020-02-24,146.87
2020-02-25,146.78
2020-02-26,146.69
2020-02-27,146.6
2020-02-28,146.51
2020-02-29,146.42
2020-03-01,146.34
2020-03-02,146.27
2020-03-03,146.2
2020-03-04,146.13
2020-03-05,146.05
2020-03-06,145.97
2020-03-07,145.89
2020-03-08,145.83
2020-03-09,145.76
2020-03-10,145.68
2020-03-11,145.6
2020-03-12,145.52
2020-03-13,145.44
2020-03-14,145.36
2020-03-15,145.28
2020-03-16,145.2
2020-03-17,145.14
2020-03-18,145.07
2020-03-19,145.0
2020-03-20,144.93
2020-03-21,144.86
2020-03-22,144.8
2020-03-23,144.73
2020-03-24,144.66
2020-03-25,144.6
2020-03-26,144.53
2020-03-27,144.47
2020-03-28,144.4
2020-03-29,144.33
2020-03-30,144.26
2020-03-31,144.19
2020-04-01,144.1
2020-04-02,144.03
2020-04-03,143.96
2020-04-04,143.89
2020-04-05,143.82
2020-04-06,143.75
2020-04-07,143.67
2020-04-08,143.6
2020-04-09,143.53
2020-04-10,143.45
2020-04-11,143.36
2020-04-12,143.28
2020-04-13,143.2
2020-04-14,143.12
2020-04-15,143.05
2020-04-16,142.98
2020-04-17,142.9
2020-04-18,142.83
2020-04-19,142.76
2020-04-20,142.68
2020-04-21,142.6
2020-04-22,142.53
2020-04-23,142.45
2020-04-24,142.37
2020-04-25,142.29
2020-04-26,142.23
2020-04-27,142.2
2020-04-28,142.13
2020-04-29,142.07
2020-04-30,142.0
2020-05-01,141.93
2020-05-02,141.86
2020-05-03,141.78
2020-05-04,141.72
2020-05-05,141.65
2020-05-06,141.58
2020-05-07,141.54
2020-05-08,141.47
2020-05-09,141.38
2020-05-10,141.31
2020-05-11,141.23
2020-05-12,141.16
2020-05-13,141.09
2020-05-14,141.02
2020-05-15,140.94
2020-05-16,140.87
2020-05-17,140.79
2020-05-18,140.72
2020-05-19,140.64
2020-05-20,140.57
2020-05-21,140.5
2020-05-22,140.43
2020-05-23,140.36
2020-05-24,140.29
2020-05-25,140.23
2020-05-26,140.18
2020-05-27,140.11
2020-05-28,140.03
2020-05-29,139.99
2020-05-30,139.92
2020-05-31,139.86
2020-06-01,139.8
2020-06-02,139.74
2020-06-03,139.71
2020-06-04,139.66
2020-06-05,139.59
2020-06-06,139.55
2020-06-07,139.5
2020-06-08,139.45
2020-06-09,139.41
2020-06-10,139.37
2020-06-11,139.34
2020-06-12,139.3
2020-06-13,139.26
2020-06-14,139.23
2020-06-15,139.2
2020-06-16,139.19
2020-06-17,139.18
2020-06-18,139.16
2020-06-20,139.14
2020-06-21,139.11
2020-06-22,139.07
2020-06-23,139.04
2020-06-24,139.01
2020-06-25,138.97
2020-06-26,138.93
2020-06-27,138.89
2020-06-28,138.85
